24 Profile for Shelter: Base-X 105 18K,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shelter HVAC Heat Load / ECU Supply Summary (BTU/hr),,,,,,,,,,,,,,,,,,,,,,,,
,2400 - 0100,0100 - 0200,0200 - 0300,0300 - 0400,0400 - 0500,0500 - 0600,0600 - 0700,0700 - 0800,0800 - 0900,0900 - 1000,1000 - 1100,1100 - 1200,1200 - 1300,1300 - 1400,1400 - 1500,1500 - 1600,1600 - 1700,1700 - 1800,1800 - 1900,1900 - 2000,2000 - 2100,2100 - 2200,2200 - 2300,2300 - 2400
HVAC Supply from 18K E2CU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVAC Supply from 18K E2CU,0,0,0,0,0,0,0,0,0,0,0,0,0,1557,2003,1145,0,0,0,0,0,0,0,0
HVAC Supply from 18K E2CU,0,0,0,0,0,0,0,0,3862,8789,14037,18462,21473,21418,21282,21231,20378,17844,14762,11294,3771,1449,0,0
HVAC Supply from 18K E2CU,17738,16306,15231,14449,13866,13405,20409,23914,23993,23463,22786,22143,21684,21418,21282,21231,21282,21370,21514,21740,22069,22500,21786,19601
Shelter HVAC Heat Load,17738,16306,15231,14449,13866,13405,20409,23914,27855,32252,36823,40605,43157,44392,44566,43607,41660,39214,36276,33034,25840,23949,21786,19601
,,,,,,,,,,,,,,,,,,,,,,,,
Shelter Heat Load Breakdown (BTU/hr),,,,,,,,,,,,,,,,,,,,,,,,
,2400 - 0100,0100 - 0200,0200 - 0300,0300 - 0400,0400 - 0500,0500 - 0600,0600 - 0700,0700 - 0800,0800 - 0900,0900 - 1000,1000 - 1100,1100 - 1200,1200 - 1300,1300 - 1400,1400 - 1500,1500 - 1600,1600 - 1700,1700 - 1800,1800 - 1900,1900 - 2000,2000 - 2100,2100 - 2200,2200 - 2300,2300 - 2400
Electrical,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486
Personnel,5500,5500,5500,5500,5500,5500,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,5500,5500,5500,5500
Structure,-3756,-4577,-5244,-5771,-6202,-6574,-5276,-2133,1125,4414,7569,10008,11600,12279,12169,11104,9264,7000,4363,1594,589,-402,-1539,-2726
Ventilation,-2492,-3104,-3511,-3766,-3918,-4008,-3801,-3440,-2756,-1648,-233,1110,2071,2627,2911,3017,2910,2727,2426,1954,1265,364,-661,-1659
Shelter HVAC Heat Load,17738,16306,15231,14449,13866,13405,20409,23914,27855,32252,36823,40605,43157,44392,44566,43607,41660,39214,36276,33034,25840,23949,21786,19601
,,,,,,,,,,,,,,,,,,,,,,,,
