24 Profile for Shelter: Base-X 105 18K,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shelter HVAC Heat Load / ECU Supply Summary (BTU/hr),,,,,,,,,,,,,,,,,,,,,,,,
,2400 - 0100,0100 - 0200,0200 - 0300,0300 - 0400,0400 - 0500,0500 - 0600,0600 - 0700,0700 - 0800,0800 - 0900,0900 - 1000,1000 - 1100,1100 - 1200,1200 - 1300,1300 - 1400,1400 - 1500,1500 - 1600,1600 - 1700,1700 - 1800,1800 - 1900,1900 - 2000,2000 - 2100,2100 - 2200,2200 - 2300,2300 - 2400
HVAC Supply from 18K E2CU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVAC Supply from 18K E2CU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVAC Supply from 18K E2CU,0,0,0,0,0,0,1627,3925,6224,8410,10123,11202,11637,11638,10956,9551,7752,5590,3646,3194,0,0,0,0
HVAC Supply from 18K E2CU,18478,18180,17958,17786,17647,17849,23781,23709,23589,23431,23274,23158,23089,23053,23037,23048,23068,23100,23151,23226,20469,19950,19377,18876
Shelter HVAC Heat Load,18478,18180,17958,17786,17647,17849,25408,27634,29813,31841,33397,34360,34726,34691,33993,32599,30820,28690,26797,26420,20469,19950,19377,18876
,,,,,,,,,,,,,,,,,,,,,,,,
Shelter Heat Load Breakdown (BTU/hr),,,,,,,,,,,,,,,,,,,,,,,,
,2400 - 0100,0100 - 0200,0200 - 0300,0300 - 0400,0400 - 0500,0500 - 0600,0600 - 0700,0700 - 0800,0800 - 0900,0900 - 1000,1000 - 1100,1100 - 1200,1200 - 1300,1300 - 1400,1400 - 1500,1500 - 1600,1600 - 1700,1700 - 1800,1800 - 1900,1900 - 2000,2000 - 2100,2100 - 2200,2200 - 2300,2300 - 2400
Electrical,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486
Personnel,5500,5500,5500,5500,5500,5500,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,5500,5500,5500,5500
Structure,-3306,-3502,-3659,-3791,-3908,-3746,-1765,310,2238,3935,5163,5883,6058,5722,4885,3588,1973,93,-1693,-1914,-2156,-2433,-2765,-3062
Ventilation,-2202,-2305,-2369,-2408,-2431,-2392,-2313,-2163,-1912,-1580,-1253,-1010,-818,-517,-378,-475,-639,-889,-995,-1152,-1361,-1603,-1844,-2049
Shelter HVAC Heat Load,18478,18180,17958,17786,17647,17849,25408,27634,29813,31841,33397,34360,34726,34691,33993,32599,30820,28690,26797,26420,20469,19950,19377,18876
,,,,,,,,,,,,,,,,,,,,,,,,
