Generator,Voltage,# of Active Items,Capacity (kVA),Diurnal Load (kVA),Diurnal Phase Loads,Hourly Fuel (gph)
30kW TQG,120/208,25,37.5,15.21,"A = 46.1A, B = 46.4A, C = 34.2A",1.45 (JP8)
30kW TQG,120/208,25,37.5,15.21,"A = 46.4A, B = 46.9A, C = 33.4A",1.41 (JP8)
30kW TQG,120/208,25,37.5,15.21,"A = 50.1A, B = 30.2A, C = 46.4A",1.38 (JP8)
30kW TQG,120/208,25,37.5,15.21,"A = 44.7A, B = 47.7A, C = 34.3A",1.35 (JP8)
30kW TQG,120/208,26,37.5,17.16,"A = 51.6A, B = 51.8A, C = 39.6A",1.45 (JP8)
30kW TQG,120/208,26,37.5,17.16,"A = 51.8A, B = 52.4A, C = 38.8A",1.41 (JP8)
30kW TQG,120/208,26,37.5,17.16,"A = 55.5A, B = 35.6A, C = 51.9A",1.38 (JP8)
30kW TQG,120/208,26,37.5,17.16,"A = 50.1A, B = 53.1A, C = 39.8A",1.35 (JP8)
30kW TQG,120/208,28,37.5,16.99,"A = 51.4A, B = 51.9A, C = 38.4A",1.52 (JP8)
30kW TQG,120/208,28,37.5,16.99,"A = 55.1A, B = 35.2A, C = 51.4A",1.48 (JP8)
30kW TQG,120/208,28,37.5,16.99,"A = 49.7A, B = 52.7A, C = 39.3A",1.44 (JP8)
30kW TQG,120/208,28,37.5,16.99,"A = 51.1A, B = 51.4A, C = 39.2A",1.57 (JP8)
Totals:,,316,450,197.43,,
