Generator,Voltage,# of Active Items,Capacity (kVA),Diurnal Load (kVA),Diurnal Phase Loads,Hourly Fuel (gph)
30kW TQG,120/208,25,37.5,14.19,"A = 43.3A, B = 43.6A, C = 31.4A",1.3 (JP8)
30kW TQG,120/208,25,37.5,14.19,"A = 43.6A, B = 44.1A, C = 30.6A",1.28 (JP8)
30kW TQG,120/208,25,37.5,14.19,"A = 47.3A, B = 27.4A, C = 43.6A",1.27 (JP8)
30kW TQG,120/208,25,37.5,14.19,"A = 41.9A, B = 44.9A, C = 31.5A",1.25 (JP8)
30kW TQG,120/208,26,37.5,10.68,"A = 33.6A, B = 33.8A, C = 21.6A",1.29 (JP8)
30kW TQG,120/208,26,37.5,10.68,"A = 33.8A, B = 34.4A, C = 20.8A",1.27 (JP8)
30kW TQG,120/208,26,37.5,10.68,"A = 37.5A, B = 17.6A, C = 33.9A",1.26 (JP8)
30kW TQG,120/208,26,37.5,10.68,"A = 32.1A, B = 35.1A, C = 21.8A",1.25 (JP8)
30kW TQG,120/208,28,37.5,12.33,"A = 38.4A, B = 39A, C = 25.4A",1.34 (JP8)
30kW TQG,120/208,28,37.5,12.33,"A = 42.1A, B = 22.2A, C = 38.5A",1.32 (JP8)
30kW TQG,120/208,28,37.5,12.33,"A = 36.7A, B = 39.7A, C = 26.4A",1.31 (JP8)
30kW TQG,120/208,28,37.5,12.33,"A = 38.2A, B = 38.4A, C = 26.2A",1.36 (JP8)
Totals:,,316,450,148.8,,
