24 Profile for Shelter: AirBeam 2032 60K,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shelter HVAC Heat Load / ECU Supply Summary (BTU/hr),,,,,,,,,,,,,,,,,,,,,,,,
,2400 - 0100,0100 - 0200,0200 - 0300,0300 - 0400,0400 - 0500,0500 - 0600,0600 - 0700,0700 - 0800,0800 - 0900,0900 - 1000,1000 - 1100,1100 - 1200,1200 - 1300,1300 - 1400,1400 - 1500,1500 - 1600,1600 - 1700,1700 - 1800,1800 - 1900,1900 - 2000,2000 - 2100,2100 - 2200,2200 - 2300,2300 - 2400
HVAC Supply from 60K ECU,-37000,-37000,-37000,-37000,-37000,-37000,-37000,-37000,-37000,-37000,-37000,-37000,-37000,-37000,-37000,-37000,-37000,-37000,-37000,-37000,-37000,-37000,-37000,-37000
Shelter HVAC Heat Load,-70022,-70345,-70571,-70736,-70389,-69852,-66219,-64902,-63118,-61014,-59317,-58016,-56972,-57126,-57712,-58379,-59173,-60149,-61347,-62754,-66901,-67980,-68879,-69551
,,,,,,,,,,,,,,,,,,,,,,,,
Shelter Heat Load Breakdown (BTU/hr),,,,,,,,,,,,,,,,,,,,,,,,
,2400 - 0100,0100 - 0200,0200 - 0300,0300 - 0400,0400 - 0500,0500 - 0600,0600 - 0700,0700 - 0800,0800 - 0900,0900 - 1000,1000 - 1100,1100 - 1200,1200 - 1300,1300 - 1400,1400 - 1500,1500 - 1600,1600 - 1700,1700 - 1800,1800 - 1900,1900 - 2000,2000 - 2100,2100 - 2200,2200 - 2300,2300 - 2400
Electrical,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486
Personnel,2750,2750,2750,2750,2750,2750,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,2750,2750,2750,2750
Structure,-62644,-62869,-63036,-63167,-62923,-62549,-61969,-61131,-59935,-58367,-57041,-55951,-55013,-55196,-55734,-56321,-56984,-57754,-58656,-59683,-60656,-61331,-61898,-62331
Ventilation,-28614,-28712,-28771,-28805,-28702,-28539,-28236,-27758,-27169,-26633,-26262,-26051,-25945,-25916,-25964,-26044,-26176,-26381,-26677,-27057,-27481,-27886,-28217,-28456
