24 Profile for Shelter: AirBeam 2032 18K,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shelter HVAC Heat Load / ECU Supply Summary (BTU/hr),,,,,,,,,,,,,,,,,,,,,,,,
,2400 - 0100,0100 - 0200,0200 - 0300,0300 - 0400,0400 - 0500,0500 - 0600,0600 - 0700,0700 - 0800,0800 - 0900,0900 - 1000,1000 - 1100,1100 - 1200,1200 - 1300,1300 - 1400,1400 - 1500,1500 - 1600,1600 - 1700,1700 - 1800,1800 - 1900,1900 - 2000,2000 - 2100,2100 - 2200,2200 - 2300,2300 - 2400
HVAC Supply from 18K E2CU,0,0,0,0,0,0,0,0,0,0,5623,11034,15602,18149,18686,17951,14011,9518,3503,0,0,0,0,0
HVAC Supply from 18K E2CU,0,0,0,0,0,0,0,3425,12496,20016,21257,20785,20312,19997,19840,19682,19840,19997,20312,16318,7309,4101,1855,473
HVAC Supply from 18K E2CU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVAC Supply from 18K E2CU,19067,17828,15687,13544,12240,10937,18946,23305,22517,21887,21257,20785,20312,19997,19840,19682,19840,19997,20312,20942,21415,21887,22202,22360
Shelter HVAC Heat Load,19067,17828,15687,13544,12240,10937,18946,26730,35013,41903,48137,52603,56226,58143,58365,57315,53690,49512,44127,37260,28724,25988,24057,22833
,,,,,,,,,,,,,,,,,,,,,,,,
Shelter Heat Load Breakdown (BTU/hr),,,,,,,,,,,,,,,,,,,,,,,,
,2400 - 0100,0100 - 0200,0200 - 0300,0300 - 0400,0400 - 0500,0500 - 0600,0600 - 0700,0700 - 0800,0800 - 0900,0900 - 1000,1000 - 1100,1100 - 1200,1200 - 1300,1300 - 1400,1400 - 1500,1500 - 1600,1600 - 1700,1700 - 1800,1800 - 1900,1900 - 2000,2000 - 2100,2100 - 2200,2200 - 2300,2300 - 2400
Electrical,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486
Personnel,5500,5500,5500,5500,5500,5500,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,5500,5500,5500,5500
Structure,-4261,-5171,-6653,-8138,-9113,-10087,-7906,-1439,5197,10771,15688,19167,21802,23061,22953,21575,18279,14429,9703,4153,2104,356,-917,-1812
Ventilation,-658,-988,-1646,-2304,-2633,-2963,-2633,-1317,329,1646,2963,3950,4938,5596,5925,6254,5925,5596,4938,3621,2633,1646,988,658
Shelter HVAC Heat Load,19067,17828,15687,13544,12240,10937,18946,26730,35013,41903,48137,52603,56226,58143,58365,57315,53690,49512,44127,37260,28724,25988,24057,22833
,,,,,,,,,,,,,,,,,,,,,,,,
Temperatures (°F),,,,,,,,,,,,,,,,,,,,,,,,
,2400 - 0100,0100 - 0200,0200 - 0300,0300 - 0400,0400 - 0500,0500 - 0600,0600 - 0700,0700 - 0800,0800 - 0900,0900 - 1000,1000 - 1100,1100 - 1200,1200 - 1300,1300 - 1400,1400 - 1500,1500 - 1600,1600 - 1700,1700 - 1800,1800 - 1900,1900 - 2000,2000 - 2100,2100 - 2200,2200 - 2300,2300 - 2400
Ambient Temperature,83,82,80,78,77,76,77,81,86,90,94,97,100,102,103,104,103,102,100,96,93,90,88,87
Shelter Internal Temperature,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
24 Profile for Shelter: AirBeam 2032 36K,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shelter HVAC Heat Load / ECU Supply Summary (BTU/hr),,,,,,,,,,,,,,,,,,,,,,,,
,2400 - 0100,0100 - 0200,0200 - 0300,0300 - 0400,0400 - 0500,0500 - 0600,0600 - 0700,0700 - 0800,0800 - 0900,0900 - 1000,1000 - 1100,1100 - 1200,1200 - 1300,1300 - 1400,1400 - 1500,1500 - 1600,1600 - 1700,1700 - 1800,1800 - 1900,1900 - 2000,2000 - 2100,2100 - 2200,2200 - 2300,2300 - 2400
HVAC Supply from 36K ECU,19067,17828,15687,13544,12240,10937,18946,26730,35013,41903,42514,41569,40624,39994,39679,39364,39679,39994,40624,37260,28724,25988,24057,22833
HVAC Supply from 36K ECU,0,0,0,0,0,0,0,0,0,0,5623,11034,15602,18149,18686,17951,14011,9518,3503,0,0,0,0,0
Shelter HVAC Heat Load,19067,17828,15687,13544,12240,10937,18946,26730,35013,41903,48137,52603,56226,58143,58365,57315,53690,49512,44127,37260,28724,25988,24057,22833
,,,,,,,,,,,,,,,,,,,,,,,,
Shelter Heat Load Breakdown (BTU/hr),,,,,,,,,,,,,,,,,,,,,,,,
,2400 - 0100,0100 - 0200,0200 - 0300,0300 - 0400,0400 - 0500,0500 - 0600,0600 - 0700,0700 - 0800,0800 - 0900,0900 - 1000,1000 - 1100,1100 - 1200,1200 - 1300,1300 - 1400,1400 - 1500,1500 - 1600,1600 - 1700,1700 - 1800,1800 - 1900,1900 - 2000,2000 - 2100,2100 - 2200,2200 - 2300,2300 - 2400
Electrical,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486,18486
Personnel,5500,5500,5500,5500,5500,5500,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,5500,5500,5500,5500
Structure,-4261,-5171,-6653,-8138,-9113,-10087,-7906,-1439,5197,10771,15688,19167,21802,23061,22953,21575,18279,14429,9703,4153,2104,356,-917,-1812
Ventilation,-658,-988,-1646,-2304,-2633,-2963,-2633,-1317,329,1646,2963,3950,4938,5596,5925,6254,5925,5596,4938,3621,2633,1646,988,658
Shelter HVAC Heat Load,19067,17828,15687,13544,12240,10937,18946,26730,35013,41903,48137,52603,56226,58143,58365,57315,53690,49512,44127,37260,28724,25988,24057,22833
,,,,,,,,,,,,,,,,,,,,,,,,
Temperatures (°F),,,,,,,,,,,,,,,,,,,,,,,,
